variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
843450,0,839822,,
843451,0,842010,,
843452,0,842010,,
843454,0,842010,,
843455,0,842010,,
843456,0,842010,,
843458,0,839822,,
843469,0,,,
843472,0,842010,,
843473,0,,,
843482,0,,,
843483,0,,,
843484,0,,,
843485,0,,,
843487,0,,,
843490,0,,,
843495,0,,,
843509,0,,,
843609,0,,,
843610,0,,,
843613,0,,,
843620,0,,,
843631,1,,,
843632,1,,,
843647,0,842010,,
843650,0,842010,,
843651,0,842010,,
843652,0,839822,,
843663,0,839822,,
843664,0,842010,,
843669,0,842010,,
843670,0,842010,,
843680,1,,,
843681,1,,,
843682,1,,,
843692,1,,,
843693,1,,,
843694,1,,,
843695,1,,,
843700,1,,,
843708,1,,,
843711,0,842010,,
843712,0,839822,,
843713,0,842010,,
843714,0,839822,281,
843715,0,839822,,
843716,0,839822,,
843717,0,839822,,
843718,0,842010,,
843719,0,842010,,
843720,0,842010,,
843725,0,839822,,
843726,0,,,
843733,0,842010,,
843735,0,839822,,
843741,0,842010,,
843744,0,842010,,
843745,0,842010,,
843746,0,839822,,
843747,0,,,
843748,0,,,
843749,0,842010,,
843750,0,839822,,
843751,0,839822,,
843752,0,839822,,
843755,0,839822,,
843756,0,,,
843759,0,839822,,
843760,0,842010,,
843761,0,839822,,
843764,0,839822,,
843765,0,839822,,
843766,0,842010,,
843767,0,842010,,
843771,0,839822,,
843772,0,839822,,
843774,0,,,
843777,0,,,
843778,0,,,
843779,0,,,
843787,0,842010,,
843788,0,842010,,
843789,0,839822,,
843790,0,839822,,
843792,0,,,
843793,0,,,
843801,0,839822,,
843806,0,839822,,
843808,0,842010,,
843809,0,839822,,
843817,0,,,
843819,0,,,
843820,0,842010,,
843821,0,839822,,
843824,0,839822,,
843825,0,839822,,
843826,0,839822,,
843828,0,839822,,
843831,0,839822,,
843832,0,842010,,
843833,0,842010,,
843834,0,839822,,
843835,0,842010,,
843836,0,842010,,
843837,0,839822,,
843838,0,842010,,
843839,0,839822,,
843840,0,839822,,
843849,0,,,
843850,0,,,
843852,0,842010,,
843854,0,839822,,
843855,0,842010,,
843856,0,839822,,
843859,0,839822,,
843864,0,842010,,
843865,0,839822,,
843866,0,839822,,
843867,0,839822,,
843868,0,842010,,
843869,0,839822,,
843870,0,842010,,
843871,0,839822,,
843872,0,842010,,
843873,0,842010,,
843874,0,839822,,
843875,0,839822,,
843876,0,842010,,
843880,0,839822,,
843881,0,839822,,
843882,0,839822,,
843883,0,842010,,
843884,0,839822,,
843885,0,,,
843886,0,,,
843887,0,842010,,
843889,0,842010,,
843891,0,842010,,
843892,0,842010,,
843893,0,839822,,
843894,0,839822,,
843895,0,839822,,
843915,0,839822,,
843918,0,842010,,
843919,0,839822,,
843920,0,839822,,
843921,0,,,
843930,0,842010,,
843931,0,842010,,
843932,0,839822,,
843935,0,839822,,
843945,0,839822,,
843946,0,839822,,
843947,0,839822,,
843949,0,,,
843950,0,839822,,
843954,0,842010,,
843955,0,839822,,
843965,0,839822,,
843966,0,842010,,
843969,0,842010,,
843971,0,842010,,
843972,0,842010,,
843973,0,839822,,
843974,0,839822,,
843979,0,842010,,
843987,0,839822,,
843988,0,842010,,
843991,0,839822,,
843992,0,839822,,
844001,0,842010,,
844002,0,842010,,
844003,0,839822,,
844008,0,842010,,
844011,1,,,
844020,0,,,
844022,1,,,
844024,1,,,
844027,1,,,
844030,0,,,
844031,0,,,
844035,0,,,
844056,0,,,
844058,0,,,
844059,0,,,
844060,0,,,
844061,0,,,
844074,1,,,
844078,1,,,
844107,0,842010,,
844156,1,,,
844195,1,,,
844196,0,,,
844197,0,,,
844199,1,,,
844209,0,842010,,
844212,0,,,
844215,0,,,
844226,1,,,
844227,0,,,
844235,0,,,
844350,1,,,
844357,0,,,
844361,0,839822,,
844381,1,,,
844382,1,,,
844383,1,,,
844386,0,,,
844387,0,,,
844388,0,,,
844389,0,,,
844390,0,,,
844391,0,,,
844392,0,,,
844395,0,,,
844396,0,,,
844397,0,,,
844402,1,,,
844414,1,,,
844430,0,839822,,
844433,0,,,
844437,0,,,
844438,0,,,
844439,0,,,
844442,0,,,
844453,1,,,
844454,1,,,
844455,0,,,
844456,0,,,
844457,0,,,
844458,0,,,
844461,0,,,
844462,0,,,
844465,1,,,
844467,0,,,
844468,0,,,
844469,0,,,
844470,0,,,
844473,0,,,
844475,0,,,
844476,0,,,
844557,0,842010,,
844558,0,,,
844559,0,,,
844560,0,842010,,
844563,0,,,
844564,0,839822,,
844566,0,839822,,
844568,0,842010,,
844604,0,,,
844605,0,,,
844606,0,,,
844616,0,,,
844619,0,,,
844634,0,,,
844635,0,,,
844663,1,,,
844666,1,,,
844708,1,,,
844714,1,,,
844715,1,,,
844716,1,,,
844717,1,,,
844718,1,,,
844720,1,,,
844723,1,,,
844727,1,,,
844731,1,,,
844738,0,,,
844739,0,,,
844740,0,,,
844741,0,,,
844742,0,,,
844743,0,,,
844744,0,839822,,
844745,0,842010,,
844746,0,,,
844750,0,,,
844751,0,,,
844752,0,,,
844753,0,,,
844755,0,,,
844756,0,,,
844757,0,839822,,
844758,0,,,
844759,0,,,
844760,0,,,
844761,0,842010,,
844762,0,842010,,
844763,0,842010,,
844765,0,,,
844768,0,,,
844769,0,,,
844770,0,,,
844771,0,,,
844777,0,842010,,
844779,0,,,
844785,0,842010,,
844787,0,,,
844789,0,,,
844790,0,,,
844791,0,839822,,
844792,0,842010,,
844800,0,842010,,
844808,1,,,
844809,1,,,
844810,1,,,
844811,1,,,
844812,1,,,
844813,1,,,
844814,1,,,
844816,1,,,
844817,1,,,
844819,1,,,
844820,1,,,
844825,0,,,
844826,0,842010,,
844830,0,,,
844831,0,,,
844832,0,839822,,
844837,0,839822,,
844838,0,,,
844840,0,,,
844841,0,,,
844843,0,839822,,
844844,0,839822,,
844846,0,,,
844847,0,,,
844849,0,,,
844872,0,839822,,
844873,0,839822,,
844882,0,839822,,
844911,0,839822,,
844917,1,,,
844918,1,,,
844919,1,,,
844920,1,,,
844921,1,,,
844922,1,,,
844923,0,,,
844924,0,,,
844925,0,,,
844926,0,,,
844927,0,,,
844929,0,,,
844930,0,,,
844931,0,,,
844932,0,,,
844938,1,,,
844941,1,,,
844942,1,,,
844943,1,,,
844944,1,,,
844945,1,,,
844946,1,,,
844947,1,,,
844948,1,,,
